ABAGUNE,aukera parada egokiera
ABAILA,ziztu abiada arineketa arrapalada
ABAILDUA,eroria goibeldua etsita lur jota
ABEGI,harrera
ABIATU,irten jalgi
ADIBIDEZ,esate_baterako esaterako kasu
ADINA,beste adinbat bezainbeste
ADITUA,jakituna jakintsua jantzia
ADITZEN,ulertzen konprenitzen endelegatzen
ADORE,kemen kuraia ausardia balentria indar
ADORERIK,kemenik indarrik
AGERIKOA,bistakoa nabarmena ezagun
AHOBERO,harro harroputz
AIDURU,ain itxaroten esperoan
AITABITXI,aita_besoetako
AITZAKIA,estakuru
AITZINEKOA,aurrekoa aurretikoa arteragokoa
AITZINSOLASEAN,Sarreran hitzaurrean atarikoan
AKASO,beharbada apika agian ausaz
AKATSAK,hutsak hutsegiteak erruak
AKITUTA,nekatuta indargetuta unatuta
AKUILATU,bultzatu sustatu
ALAFEDE,egiaz benetan zinez alajainkoa alajaina
ALBISTE,berri adierazpen
ALBORATU,baztertu utzi saihestu ekidin
ALDARTE,umore gogaldi tenple sasoi
ALDE,diferentzia ezberdintasun desberdintasun
ALDENDU,apartatu urrutiratu urrundu
ALTZOAN,magalean galtzarrean babesean
AMABITXI,Ama_besoetako
AMARRUEI,maltzurkeriei azpikeriei
AMARRURIK,azpikeriarik trikimailurik tranparik
AMATATU,itzali desagertu iraungi
AMULTSU,ezti gozo atsegin begitartetsu maitati maitetsu xeratsu
ANDANAK,taldeak tropelak piloak pilak
ANDANAREN,mordoaren piloaren pilaren taldearen
ANTXETA,aio
ANTZA,dirudienez itxuraz agi denez nonbait
ANTZEMAN,nabaritu igarri sumatu
APAL,Otzan umil xume
APAR,bitsa haguna
APARTA,berezia
APETAK,grinak gutiziak desirak gurariak nahiak gogoak
ARAKETAN,bilaketan miaketan ikerketan
ARATZ,garbi garden
ARBUIATUKO,mesprezatuko erdeinatuko gutxietsiko
ARBUIATZEN,mesprezatzen erdeinatzen gaitzesten
ARESTIAN,lehentxeago oraintsu oixtion
ARGAL,mehar
ARIANARIAN,apurka_apurka pixkanaka
ARINDU,leundu bigundu samurtu
ARRAS,erabat zeharo guztiz osoro
ARTAZIAK,guraizeak aizturrak
ARTEGA,urduri estu larri egonezinean
ARTEZ,zuzen zintzo zorrotz
ASPALDIKO,antzinako lehenagoko
ASTRAPALA,zalaparta azantza zarata harrabotsa
ATERA,irten
ATSEKABE,nahigabe pena
ATXIKIRIK,erantsirik loturik itsatsirik
AUKERARIK,abagunerik egokierarik erarik paradarik
AURKI,laster berehala
AURRERATU,irabazi aurreztu atera
AUSIKI,kosk haginka
AZANTZA,astrapala zalaparta zarata harrabotsa
AZIENDA,ganadu
AZTORATZEN,asaldatzen larritzen urduritzen kezkatzen
AZTURAK,ohiturak usadioak usantzak ekanduak
BADAEZPADAKO,halaholako zalantzazko halamoduzko
BAKAN,urri eskas
BALDITU,min hartu harritu
BALDRESTU,trauskildu zarpaildu tartaildu
BARE,lasai trankil geldi
BARRABASKERIA,bihurrikeria okerkeria
BARRUAK,erraiak tripak barneak
BARRUTIAK,eremuak esparruak
BAZTERRETAN,urbazterretan ertzetan uhaldeetan
BEGIRA,so beha
BEGIRAMEN,begirune adeitasun
BEGIZTATUTAKO,ikusitako begiz jotako
BEHARKIZUNAK,eginbeharrak eginkizunak betebeharrak obligazioak
BEHIALA,aspaldi antzina
BEHINGOAN,segituan berehala
BELARDIAN,belartzan larrean zelaian belazean
BERANBEREGI,nahita apropos berariaz
BERARIAZ,apropos gurata nahita beranberegi
BERATU,bigundu hunkitu
BEREALDIKO,izugarrizko ikaragarrizko itzelezko sekulako
BEREBIZIKO,sekulako egundoko itzelezko izugarrizko
BERMATZEKO,ziurtatzeko segurtatzeko
BERRIZ,berriro ostera atzera
BESAPEAK,galtzarbeak
BETA,aukera abagune tenore
BETEKIZUNETATIK,zereginetatik eginbeharretatik
BIDENABAR,bide batez
BIDEZKOA,zuzena legezkoa justua
BILAUKERIA,zitalkeria ankerkeria gaiztakeria
BIPILTASUNA,kuraia garra ausardia kemena
BIRRINDU,desegin triskatu txikitu eraitsi
BISUTS,haizete elurbisuts
BISUTS,par its
BURLA,iseka trufa ihakina
BURRUNBAK,zaratotsak        burrundarak   astrapalak     harrabotsak danbotsak
DERRIGORREAN,nahitaez ezinbestean halabeharrez
DESTAINAK,mesprezua erdeinua
DETEKTIBEA,ikertzailea
DIOSALIK,agurrik adiorik
DIOSOLARI,agurrari
DIRUDUN,aberats
DOHAKABEAK,zoritxarrekoak zorigaiztokoak malurusak
DOIDOI,oztaozta juxtujuxtu
DOILORKERIA,zitalkeria ankerkeria bilaukeria gaiztakeria
DOITASUNA,zehaztasuna
EBASLE,lapur ohoin
EBATSI,ostu lapurtu
EBATZI,erabaki deliberatu
EDIREN,aurkitu topatu idoro kausitu
EDONORI,edozeini nornahiri
EDOZELAN,nolanahi edonola edozertara
EGIAZTATZEARREN,ziurtatzearren frogatzearren
EGINAHALETAN,ahaleginetan saioetan
EGOKIERA,abagunea modua aukera era parada
EGOKITU,aurkitu gertatu suertatu
EGONARRI,eroapen pairamen pazientzia patxada
EGOSKORRA,burugogorra kaskagogorra setatia setatsua
EGOTZI,aurpegiratu bota leporatu
EGOZTEA,leporatzea aurpegiratzea botatzea
EGUNDOKOAK,ikaragarriak itzelak izugarriak
EKIDITEN,saihesten galarazten
ELEKETAN,hizketan berbetan berriketan solasean
ELKORREAN,lehorrean idorrean antzuan agorrean
ELTZEA,lapikoa pertza tupina marmita
EMAN,igaro pasa
EMEKI,poliki astiro
EMENDAKINIK,zuzenketarik aldaketarik
ENDREDATZEKO,nahasteko korapilatzeko nahaspilatzeko aldrebesteko
ERABAKIA,ebatzia
ERAGOTZI,oztopatu galarazi
ERALGITZEN,gastatzen xahutzen
ERANTZUKIZUNA,ardura
ERBESTEKO,atzerriko kanpoko deserriko
ERDEINATU,arbuiatu mesprezatu gutxietsi
ERDEINUA,destaina mesprezua
ERDENAITU,gutxietsi mespretxatu
ERDEINUA,destaina mesprezua
ERDENAITU,gutxietsi mespretxatu
ERDIESTEKO,lortzeko
ERDIETSI,lortu
ERDIETSIKO,eskuratuko lortuko
ERETI,une momentu lipar
ERI,gaixo
ERNE,sortu bururatu otu
ERNEA,argia azkarra zuhurra
ERNEGATU,haserretu sumindu amorratu
ERRETXINAGO,ipurterreago     petralago    haserreago   pipertuago
ERREZELOA,susmoa itxura irudipena
ESKASTU,urritu gutxitu murriztu mehaztu
ESKEGITA,zintzilik dilindan
ESTAKURU,aitzakia
ESTREINAKOZ,lehenengoz aurrenekoz lehendabizikoz lehenbizi lehenik
ESTUTASUNA,ezinegona larritasuna egonezina
ETEKINA,irabazia mozkina hobaria
ETSI,errenditu
ETXOLA,borda txabola
EZAGUTU,aitortu eskertu
EZBAIAN,dudan zalantzan dudamuda dudatan enuraz
EZBAIRIK,zalantzarik dudarik
EZINBESTEKO,beharrezko nahitaezko
EZKILA,kanpaia
EZTENKATURIK,zirikatuta eraginda bultzaturik akuilaturik
FRANKO,ugari asko anitz
GAILEN,nagusi garaile irabazle
GAILENDU,nagusitu nabarmendu
GAITZETSI,arbuiatu kondenatu kritikatu
GAITZIK,gaixotasunik eritasunik
GALBAHE,iragazki bahe
GALGARRIA,hondagarria hondamendia kaltegarria
GALTZARBEAK,besapeak
GANDUTU,lausotu lainotu lurrindu lurrundu
GARRAZTU,zakartu laztu
GATZATU,odolbildu opildu mamitu
GELDIRO,emeki poliki mantso patxadaz
GELDO,geldi motel ilaun gogogabe odolgabe txepel jabal trankil
GERIZA,babesa
GERTU,hurbil hur hurrean aldean ondoan inguruan
GIBELEAN,atzean ostean
GIBELEKO,atzeko atzealdeko
GOGAITU,nazkatu aspertu nekatu
GOGOTIK,gogoz gogor indartsu erruz franko barrabarra
GOIBEL,triste itun gogoilun kopetilun betilun hits uzkur
GOIBELDU,tristatu ilundu atsekabetu nahigabetu
GOLDE,goldenabar lauhortz nabar nabas txerren makina
GOMUTA,oroitzapen gogorapen oroipen
GORDEAN,isilpean sekretupean ezkutuan
GORESPEN,gorapen laudorio
GORRIAN,beltzean gogorrean
HAGITZ,oso txit arras guztiz erabat
HALA ERE,halere hala_eta_guztiz_ere nolanahi_ere aldiz baina ostera
HALABEHARRAK,zoriak patuak zorteak
HALABER,baita_ere era_berean orobat modu berean orobat berebat horretaz gainera are_gehiago gainera
HALAMODUZKOA,erdipurdikoa kaxkarra eskasa halaholakoa
HARRABOTSA,astrapala zalaparta zarata azantza
HAUSNARKETA,gogoeta azterketa pentsaketa oldozketa gogarte
HAZPEGI,itxura aurpegiera bisaia
HEGALERA,albora ertzera bazterrera aldamenera
HEGIRA,bazterrera ertzera hegalera
HERABE,lotsati uzkur
HERTSIRIK,itxirik
HIGATU,gastatu ahitu
HIGITU,mugitu zirkin_egin
HITZARMENAK,itunak akordioak
HITZONTZI,berbalapiko berritsu berbatsu hiztun mihiluze kalakari ahobero
HIZTUN,berritsu hitzontzi eleketari kalakari
HOBIRATU,lurperatu ehortzi
HOGERLEKO,duro
HONDARRA,enparaua gainerakoa
HONDARREKO,bukaerako amaierako azkeneko
HORDITURIK,mozkorturik edanda
HORMATU,izoztu jelatu leitu
IDOR,elkor antzu lehor agor
IDORRAK,lehorrak agorrak sikuak
IGARABA,urtxakur ugadera ugabere
IGURIKAN,zain aiduru
ILDO,bide hari
IMINTZIO,keinu zeinu seinale
INARROSTEN,astintzen
INAUSTEN,kimatzen mozten
INDARGE,ahul eskas motel
INGUDE,txingura
INGURATU,ondoratu hurbildu
INONDIK ERE,zalantza_barik duda_gabe
IRAGAN,egin eman pasa igaro
